No.,単語,意味
1,電子商取引 / Eコマース / EC,ECとは、インターネットやコンピュータなど電子的な手段を介して行う商取引の総称。狭義には、インターネットや通信回線を介して遠隔地間で必要な情報を送受信して行う商取引を指し、また、より狭義には、Webサイトなどを通じて企業が消費者に商品を販売するオンラインショップのことをECと呼ぶこともある。
2,違法コピー,違法コピーとは、著作物を権利者に無断で、あるいは許諾された範囲を超えて複製すること。また、そのようにして不正に作成された複製品。著作権法に基いて権利者から損害賠償を請求されたり刑事罰が課されることがある。
3,暗号化,暗号化とは、データを正規の権限のない人が読めないように、一定の計算手順に基いて元の状態が容易に推定できない形に変換すること。データを保存したり誰かに伝送する際に、意図せず第三者に盗み見られたり改竄されたりしないために行われる。
4,オンラインストレージ / ストレージサービス / クラウドストレージ,オンラインストレージとは、インターネット上でファイル保管用のディスクスペースを貸し出すサービス。有料のものと無料のものがあり、無料の場合は使用時に広告が表示される。職場と自宅、あるいはノートパソコンなどとの間でのデータのやりとりや、複数人でのデータの共有などが行える。利用できる容量は数MB～100MB程度のサービスが多い。WebブラウザやFTPクライアントから利用できるものが多いが、専用のソフトをパソコンに組み込んで、Windowsのエクスプローラから他のディスクと同じような操作感で利用できるようにしたものもある。
5,オンラインゲーム / ネットゲーム / インターネットゲーム,オンラインゲームとは、インターネットなどの通信ネットワークを介して複数の人が同時に参加して行われるコンピュータゲーム。一人で遊ぶモードと他の人と遊ぶモードが別に用意されているゲームと、複数人が参加する前提で作られているものがある。
6,オンプレミス / オンプレ,オンプレミスとは、企業などの組織における情報システムの設置形態の分類で、自社施設の構内に機器を設置してシステムを導入・運用すること。外部の事業者が用意した機材やソフトウェアを通信回線を経由して利用するクラウド型(システム/サービス)の対義語。
7,オンデマンド,オンデマンドとは、利用者の要求に応じてサービスを提供する方式。コンピュータの機能やインターネット上のサービスなどはほとんどがオンデマンド型で提供される。これに対し、例えば、テレビ放送はいつどの番組を流すかを個々の視聴者の意向や要求とは無関係に決める(決めざるを得ない)ため、オンデマンドではない。
8,オブジェクト指向 / OO,オブジェクト指向とは、ソフトウェアの設計や開発において、操作手順よりも操作対象に重点を置く考え方。
9,オープンソースソフトウェア / OSS,オープンソースとは、人間が理解しやすいプログラミング言語で書かれたコンピュータプログラムであるソースコードを広く一般に公開し、誰でも自由に扱ってよいとする考え方。また、そのような考えに基づいて公開されたソフトウェアのこと。
10,オートコンプリート,オートコンプリートとは、キーボードからの入力を補助する機能の一つで、過去の入力履歴を参照して次の入力内容を予想し、あらかじめ表示すること。表計算ソフトなどでよく採用されており、最近ではWebブラウザのアドレス入力や、ソフトウェア開発環境のエディタなどにも搭載されている。
11,エンコード / 符号化 / エンコーディング,エンコードとは、情報を一定の規則に従ってデータに置き換えて記録すること。また、ある形式のデータを一定の規則に基づいて別の形式のデータに変換すること。データ圧縮や暗号化などもこれに含まれる。エンコードを行う装置やソフトウェアを「エンコーダ」(encoder)という。エンコードされたデータをエンコード前の情報やデータに戻すことを「デコード」(decode：復号)という。
12,エスクロー /  エスクロウ,エスクローとは、第三者預託という意味の英単語。二者の契約について一方から他方への義務の履行が確認されるまで、対価として引き渡される金銭や証書、物品などを第三者が預かる仕組みのこと。
13,エクスポート / 書き出し,エクスポートとは、輸出するという意味の英単語で、あるソフトウェアで作成・編集したデータを他のソフトが読み込める形式に変換したり、そのような形式でファイルに保存することを指す。対義語はインポート(import)で、他のソフトウェアで作成されたデータを自らが利用できる形に変換して読み込むことを指す。
14,インポート / 取り込み,インポートとは、輸入する、取り込む、持ち込む、などの意味を持つ英単語で、あるソフトウェアが、他のソフトで作成されたデータやファイルを読み込んで利用できるようにすることを指す。対義語はエクスポート(export)で、ソフトウェアが自らの固有の形式以外の形式(汎用形式や他のソフトウェア固有の形式)でデータを書き出したりファイルを保存することを指す。
15,インプレッション,インプレッションとは、Webサイトに掲載される広告の効果を計る指標の一つで、広告の露出(掲載)回数のこと。サイトに訪問者が訪れ、広告が1回表示されることを1インプレッションという。“imp”あるいは“imps”(複数形)と略記されることもある。
16,インフォグラフィック / インフォグラフィックス,インフォグラフィックとは、情報、データ、知識などさまざまな情報を視覚的に表現したもの。 インフォグラフィックは情報を素早く簡単に表現したい場面で用いられ、標識、地図、報道、技術文書、教育などの形で使われている。
17,インデックスカラー / パレットカラー,インデックスカラーとは、使用する色を決まった数だけあらかじめ選んで通し番号をつけておき、色の指定に番号を用いる色表現方式。色数には256色が使われることが多く、画像の容量を小さくするのに有効な方式である。
18,インターフェース / I/F / IF,インターフェースとは、接点、境界面、接触面、接合面、仲立ち、橋渡しなどの意味を持つ英単語。IT関連では、二つのものが接続・接触する箇所や、両者の間で情報や信号などをやりとりするための手順や規約を定めたものを意味する。「ハードウェアインターフェース」「ソフトウェアインターフェース」「ユーザインターフェース」の三つに大別できる。
